,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
1361,INM1,234.16666666666666,41.2945810517848,12.0,0.3911869971400633,0.049592732908122696,11.0,259.9166666666667,41.959847329069106,12.0,0.5254565131683403,0.030932182559631604,12.0,0.36770423630349436,0.8383265791741236,12.0,-0.1036366786238381,0.3713454084617804,10.0,0.279123192211681,0.7702076718207956,12.0,0.06556289342002851,0.3031093557616984,11.0
1362,INM2,260.5833333333333,43.96167407957514,12.0,0.4491753209157498,0.05651766931834947,12.0,321.5,54.74486277268398,12.0,0.558710987081166,0.038559042585736975,12.0,-0.14386178896543356,0.3470799970532673,12.0,0.4266837123580274,0.38681345345937507,12.0,-0.15736998407702604,0.2284176728168284,12.0,0.3706530086205264,0.31307174485748507,12.0
1363,INO1,209.33333333333334,29.997979729954956,12.0,0.44668403093833325,0.03937011507042335,12.0,238.6,36.606617495262306,10.0,0.5573554731193173,0.015911425437693548,12.0,0.017122160586560548,0.6455341019556265,12.0,0.4010278053847129,0.3401486048620786,12.0,0.22429611033395905,0.5445687036619098,10.0,0.3339008313519531,0.4616264623416882,12.0
1364,INO2,131.83333333333334,29.586596064208987,6.0,0.3320082300167453,0.09129193912825012,7.0,154.66666666666666,45.434201507968275,6.0,0.43646575961747486,0.10672005668202328,7.0,-1.3422946211370814,0.4539898092275432,6.0,-1.172609671400677,1.3536733223463178,7.0,-1.1552588022641377,0.529408282083767,6.0,-1.3404090706831409,1.6535864283852997,7.0
1365,INO4,106.18181818181819,61.31201869424653,11.0,0.30525022566949844,0.0676331773747998,11.0,151.4,94.25049366213184,10.0,0.3836524579680612,0.06279845560393112,11.0,-2.310059905207299,0.9237217015054432,11.0,-1.9477741779588775,1.1338127694268905,11.0,-2.1031029842537476,0.8212273761079837,11.0,-2.7770302743089834,1.1606294301016316,11.0
1366,INP1,188.28571428571428,41.59212379651659,7.0,0.406130046814871,0.03106286791243221,7.0,224.33333333333334,23.551362310207598,6.0,0.5071842317319406,0.0399932676018383,7.0,-0.3695935103840724,0.7923311770695498,7.0,-0.4093273475394186,0.28674292855442896,6.0,-0.3000014071376416,0.7326841553425467,7.0,-0.5039412362493983,0.7136417609436895,7.0
1367,INP2,218.625,35.27013102976998,8.0,0.38045260190108765,0.042053582724854044,8.0,241.875,30.605496705190532,8.0,0.5098698078652254,0.09179242650020598,7.0,0.19436738337252651,0.6849908692213367,8.0,-1.0672437968699684,0.6015746667371751,8.0,0.2874706921682179,0.5649791430506473,8.0,0.05900580792496868,0.5940242527573826,6.0
1368,INP51,270.57142857142856,23.670355178697985,7.0,0.3963619470611886,0.044218399717665585,8.0,309.25,52.76836173314463,8.0,0.5402281720580797,0.031430654409307854,7.0,0.990125266226447,0.3018645413177792,7.0,0.1011403798624936,0.6756749481099191,8.0,1.1195762705638288,0.3696204174256746,7.0,0.4950691733315005,0.25785821099090556,7.0
1369,INP52,314.7,55.67375204408866,10.0,0.4126106007411043,0.046906078897397556,7.0,397.5,48.824515699936384,10.0,0.5597275088728543,0.041535183387676866,9.0,0.47962837851848467,0.4309871593130794,10.0,0.14393357154153688,0.39307067693903736,10.0,0.47080933205391917,0.3437390538330153,10.0,0.3551352037546141,0.2903968684723861,9.0
1370,INP53,210.14285714285714,50.224258983843555,7.0,0.34415800595712426,0.08030599746943058,6.0,295.85714285714283,81.58518773124726,7.0,0.46212374603631917,0.027632510159586517,6.0,-0.6763428278932804,0.6448463183329015,7.0,-1.1307630248094955,0.8619105116392526,7.0,-0.529313105853353,0.5164148095285526,7.0,-1.1585996504360416,0.8644269177017241,7.0
