,Unnamed: 0,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,area.24_Z_mean,area.24_Z_std,area.24_Z_count,mean_intensity.24_Z_mean,mean_intensity.24_Z_std,mean_intensity.24_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count,corrected_area.24_Z_mean,corrected_area.24_Z_std,corrected_area.24_Z_count,corrected_mean_intensity.24_Z_mean,corrected_mean_intensity.24_Z_std,corrected_mean_intensity.24_Z_count
3876,3876,YGL010W,,,0.0,0.4750257074657155,0.0119335642566452,3.0,,,0.0,0.4750257074657155,0.0119335642566452,3.0,-0.0313195394049038,0.1118048205446086,3.0,0.4073190917416811,0.2838201336688731,3.0,-0.0313195394049038,0.1118048205446086,3.0,0.4073190917416811,0.2838201336688731,3.0,3.3306690738754696e-15,1.0,3.0,1.5543122344752194e-15,1.0,3.0,3.3306690738754696e-15,1.0,3.0,1.5543122344752194e-15,1.0,3.0,7.401486830834377e-17,0.9999999999999998,3.0,-7.401486830834377e-17,1.0,3.0,7.401486830834377e-17,0.9999999999999998,3.0,-7.401486830834377e-17,1.0,3.0
3877,3877,YGL015C,521.3333333333334,101.16488191726089,3.0,0.4751245000444067,0.0179305859025569,3.0,521.3333333333334,101.16488191726089,3.0,0.4751245000444067,0.0179305859025569,3.0,,,0.0,,,0.0,,,0.0,,,0.0,3.7007434154171886e-16,1.0,3.0,-2.0724163126336257e-15,1.0,3.0,3.7007434154171886e-16,1.0,3.0,-2.0724163126336257e-15,1.0,3.0,,,0.0,,,0.0,,,0.0,,,0.0
3878,3878,YGL024W,362.75,34.78864757359792,4.0,0.467763245721091,0.011865480247206,4.0,362.75,34.78864757359792,4.0,0.467763245721091,0.011865480247206,4.0,0.4384961904289355,0.4580519394308719,4.0,-0.039528427986419,0.2197468638629862,4.0,0.4384961904289355,0.4580519394308719,4.0,-0.039528427986419,0.2197468638629862,4.0,0.0,1.0,4.0,2.3592239273284576e-15,1.0,4.0,0.0,1.0,4.0,2.3592239273284576e-15,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-4.8572257327350605e-17,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-4.8572257327350605e-17,1.0,4.0
3879,3879,YGL034C,251.25,23.51418011895517,4.0,0.4664592401947872,0.0050206022635047,3.0,251.25,23.51418011895517,4.0,0.4664592401947872,0.0050206022635047,3.0,0.4368031821310641,0.3589443970037524,4.0,0.2078923303343601,0.0789637012637455,3.0,0.4368031821310641,0.3589443970037524,4.0,0.2078923303343601,0.0789637012637455,3.0,2.775557561562892e-17,1.0,4.0,-1.1102230246251563e-15,1.0,4.0,2.775557561562892e-17,1.0,4.0,-1.1102230246251563e-15,1.0,4.0,-1.6653345369377348e-16,1.0,4.0,4.163336342344337e-17,1.0,4.0,-1.6653345369377348e-16,1.0,4.0,4.163336342344337e-17,1.0,4.0
3880,3880,YGL036W,253.0,39.736632972611055,3.0,0.4881323575340543,0.0015862139229061,3.0,253.0,39.736632972611055,3.0,0.4881323575340543,0.0015862139229061,3.0,0.5445536034384518,0.4487659592815184,3.0,0.5887664417332448,0.1641778459576615,3.0,0.5445536034384518,0.4487659592815184,3.0,0.5887664417332448,0.1641778459576615,3.0,3.7007434154171876e-17,1.0,3.0,-1.1620334324409972e-14,1.0,3.0,3.7007434154171876e-17,1.0,3.0,-1.1620334324409972e-14,1.0,3.0,-7.401486830834377e-17,1.0,3.0,-4.440892098500626e-16,1.0,3.0,-7.401486830834377e-17,1.0,3.0,-4.440892098500626e-16,1.0,3.0
3881,3881,YGL039W,224.75,38.9903834297638,4.0,0.4864664634315465,0.0031610053094527,3.0,224.75,38.9903834297638,4.0,0.4864664634315465,0.0031610053094527,3.0,-0.0137852892421609,0.6912771443215339,4.0,0.5598901791270564,0.1929675124372041,3.0,-0.0137852892421609,0.6912771443215339,4.0,0.5598901791270564,0.1929675124372041,3.0,0.0,1.0,4.0,-2.775557561562892e-17,1.0,4.0,0.0,1.0,4.0,-2.775557561562892e-17,1.0,4.0,5.551115123125783e-17,1.0,4.0,0.0,1.0,4.0,5.551115123125783e-17,1.0,4.0,0.0,1.0,4.0
3882,3882,YGL041C,234.25,24.635678733630755,4.0,0.4842569579862758,0.0142549424412107,4.0,234.25,24.635678733630755,4.0,0.4842569579862758,0.0142549424412107,4.0,0.1372996270772075,0.3076308682589101,4.0,0.5205582612531233,0.3160622630477075,4.0,0.1372996270772075,0.3076308682589101,4.0,0.5205582612531233,0.3160622630477075,4.0,0.0,1.0,4.0,2.0816681711721685e-17,1.0,4.0,0.0,1.0,4.0,2.0816681711721685e-17,1.0,4.0,0.0,1.0,4.0,-1.9428902930940242e-16,1.0,4.0,0.0,1.0,4.0,-1.9428902930940242e-16,1.0,4.0
3883,3883,YGL042C,176.0,18.60107523773828,4.0,0.4239069703029285,0.0246975410403943,4.0,176.0,18.60107523773828,4.0,0.4239069703029285,0.0246975410403943,4.0,-0.8014083332358168,0.438423353785079,4.0,-0.4282920566925101,0.5200222923501191,4.0,-0.8014083332358168,0.438423353785079,4.0,-0.4282920566925101,0.5200222923501191,4.0,5.551115123125783e-17,1.0,4.0,1.0824674490095276e-15,1.0,4.0,5.551115123125783e-17,1.0,4.0,1.0824674490095276e-15,1.0,4.0,1.9428902930940242e-16,1.0,4.0,-8.326672684688674e-17,1.0,4.0,1.9428902930940242e-16,1.0,4.0,-8.326672684688674e-17,1.0,4.0
3884,3884,YGL046W,213.0,22.524061208701536,4.0,0.3534080674858372,0.0123613904297708,4.0,213.0,22.524061208701536,4.0,0.3534080674858372,0.0123613904297708,4.0,0.0056883772716677,0.4141955679153407,4.0,-1.8443054036715487,0.2141243873164714,4.0,0.0056883772716677,0.4141955679153407,4.0,-1.8443054036715487,0.2141243873164714,4.0,-5.551115123125783e-17,1.0,4.0,-2.1926904736346838e-15,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-2.1926904736346838e-15,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-5.551115123125783e-17,1.0,4.0
3885,3885,YGL072C,124.5,27.742866951104144,4.0,0.4499491181318488,0.0088443694917223,4.0,124.5,27.742866951104144,4.0,0.4499491181318488,0.0088443694917223,4.0,-1.6217405051514768,0.5101643272028181,4.0,-0.1720183387245241,0.1532024418591753,4.0,-1.6217405051514768,0.5101643272028181,4.0,-0.1720183387245241,0.1532024418591753,4.0,2.775557561562892e-17,1.0,4.0,1.5820678100908479e-15,1.0,4.0,2.775557561562892e-17,1.0,4.0,1.5820678100908479e-15,1.0,4.0,1.9428902930940242e-16,1.0,4.0,-1.3877787807814457e-17,0.9999999999999998,4.0,1.9428902930940242e-16,1.0,4.0,-1.3877787807814457e-17,0.9999999999999998,4.0
