,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count
2585,RPL6A,211.75,21.06141812256082,4.0,0.45661232085205467,0.04150531630554331,4.0,215.8046971644785,19.0742817969091,4.0,0.4641549579106963,0.04289273497898718,4.0,4.163336342344337e-17,0.9999999999999999,4.0,3.434752482434078e-16,1.0,4.0,-1.1379786002407855e-15,1.0,4.0,-3.0531133177191805e-16,1.0,4.0
2586,RPL6B,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2587,RPL7A,248.75,33.8563140344604,4.0,0.5141248977475442,0.00905964595164,3.0,247.06671657659942,33.17954611082391,4.0,0.49778356780460586,0.03722892724850273,4.0,0.0,1.0,4.0,-5.551115123125783e-17,0.9999999999999999,4.0,2.220446049250313e-16,0.9999999999999999,4.0,7.216449660063518e-16,1.0,4.0
2588,RPL7B,249.5,28.803934916373258,4.0,0.47106329576379513,0.06282672452004574,4.0,239.11654939854097,24.577598025602956,4.0,0.49486683567445855,0.06182421641197011,4.0,2.7755575615628914e-17,1.0,4.0,2.220446049250313e-16,1.0,4.0,-5.551115123125783e-17,1.0,4.0,-1.942890293094024e-16,1.0,4.0
2589,RPL8A,231.66666666666666,78.90711839456142,3.0,0.41935954251045104,0.08531134933010545,3.0,212.26870152233457,67.91712484679498,3.0,0.43781838842754417,0.0701607248887807,3.0,-1.1102230246251565e-16,0.9999999999999999,3.0,0.0,1.0,3.0,2.590520390792032e-16,1.0,3.0,2.220446049250313e-16,0.9999999999999999,3.0
2590,RPL8B,341.0,192.12756179163884,3.0,0.4446928388412299,0.033831591916959496,3.0,223.66406604689496,117.14539095511606,3.0,0.45517996704628155,0.03248138160181778,3.0,0.0,0.9999999999999999,3.0,0.0,1.0,3.0,3.700743415417188e-17,1.0,3.0,-5.181040781584064e-16,0.9999999999999999,3.0
2591,RPL9A,267.0,42.6848919408261,4.0,0.43294064820088446,0.026000670506673484,4.0,243.89450788943725,20.958747961212897,4.0,0.46980006209362574,0.03196471387523932,4.0,-4.163336342344337e-17,0.9999999999999999,4.0,3.469446951953614e-17,0.9999999999999999,4.0,6.938893903907228e-16,0.9999999999999998,4.0,4.475586568020162e-16,0.9999999999999999,4.0
2592,RPL9B,171.5,20.42057785666214,4.0,0.42910839133759693,0.031528204915693636,4.0,173.03376761731673,22.593686034277344,4.0,0.4394386964233068,0.030120007825385407,4.0,6.938893903907228e-18,0.9999999999999999,4.0,4.440892098500626e-16,1.0,4.0,-6.227657278756737e-16,1.0,4.0,-8.743006318923108e-16,1.0,4.0
2593,RPN10,232.25,31.62672920173694,4.0,0.4699011633837465,0.015443818015162331,4.0,212.29104623369122,27.32231972082311,4.0,0.4841639486737806,0.012300682715609282,4.0,0.0,1.0,4.0,0.0,1.0,4.0,-2.3592239273284576e-16,0.9999999999999999,4.0,-1.1657341758564144e-15,1.0,4.0
2594,RPN13,283.75,67.08887140701256,4.0,0.5156981195912431,0.004419959118976186,3.0,186.1304523894216,19.248165440814237,4.0,0.5117254678313589,0.021394831054967915,4.0,2.7755575615628914e-17,0.9999999999999998,4.0,8.187894806610529e-16,1.0,4.0,-7.238133703513228e-16,1.0,4.0,-6.453171330633722e-16,1.0,4.0
2595,RPN14,232.0,24.06241883103193,3.0,0.48196858601202713,0.007164656531248984,3.0,231.45317886609007,14.331992761827742,3.0,0.5074195032920267,0.012174079775158478,3.0,0.0,0.9999999999999999,3.0,0.0,1.0,3.0,6.661338147750939e-16,1.0,3.0,-2.9976021664879227e-15,0.9999999999999999,3.0
2596,RPN4,198.33333333333334,4.041451884327382,3.0,0.5341054400517106,0.006141802095422239,3.0,198.33333333333334,4.041451884327382,3.0,0.5341054400517106,0.006141802095422239,3.0,0.0,1.0,4.0,-1.5265566588595902e-15,1.0,4.0,0.0,1.0,4.0,-1.5265566588595902e-15,1.0,4.0
2597,RPO41,145.25,22.246722605064026,4.0,0.5626008533900533,0.017643027164382336,4.0,143.33248874377918,17.323968925779692,4.0,0.5857175803473638,0.01152879644160348,4.0,0.0,0.9999999999999999,4.0,1.5404344466674047e-15,1.0,4.0,0.0,1.0,4.0,2.3869795029440866e-15,1.0,4.0
2598,RPP1A,247.75,50.22864388639879,4.0,0.47894851222794177,0.012303500869442586,4.0,166.2875763626011,13.826861202834694,4.0,0.4839328282268763,0.012014598755913451,4.0,-2.7755575615628914e-17,1.0,4.0,0.0,0.9999999999999998,4.0,-1.0408340855860843e-15,1.0,4.0,1.1102230246251565e-15,1.0,4.0
2599,RPP1B,174.75,39.928060308509856,4.0,0.49654957189680493,0.0177819879159764,3.0,128.61531887747628,34.66332969213853,4.0,0.501126251451344,0.011152601611641886,3.0,2.7755575615628914e-17,1.0,4.0,-4.163336342344337e-16,0.9999999999999999,4.0,-3.165870343657673e-16,1.0,4.0,-1.8041124150158794e-16,1.0,4.0
2600,RPP2A,143.75,13.59840676942217,4.0,0.43918187396238556,0.017589389299519108,4.0,139.25770585407886,14.395872375832251,4.0,0.45392310004052927,0.02000590631420672,4.0,3.469446951953614e-17,1.0,4.0,7.771561172376096e-16,0.9999999999999998,4.0,-9.992007221626409e-16,0.9999999999999999,4.0,-1.3877787807814457e-15,1.0,4.0
2601,RPP2B,185.0,35.674453978535766,4.0,0.4143349023132563,0.05220071604142254,4.0,157.13200896453384,27.566801546901615,4.0,0.4500350107803668,0.04885863848107429,4.0,-2.949029909160572e-17,0.9999999999999998,4.0,4.996003610813204e-16,1.0,4.0,2.5673907444456745e-16,1.0,4.0,3.3306690738754696e-16,1.0,4.0
2602,RPS0A,222.5,16.62327685305558,4.0,0.5055464378823404,0.019589540915603484,4.0,222.5,16.62327685305558,4.0,0.5055464378823404,0.019589540915603484,4.0,0.0,1.0,4.0,-1.3877787807814457e-15,1.0,4.0,0.0,1.0,4.0,-1.3877787807814457e-15,1.0,4.0
2603,RPS0B,131.5,13.674794331177344,4.0,0.379836678994363,0.029199668747473366,4.0,131.5,13.674794331177344,4.0,0.379836678994363,0.029199668747473366,4.0,0.0,0.9999999999999999,4.0,4.579669976578771e-16,1.0,4.0,0.0,0.9999999999999999,4.0,4.579669976578771e-16,1.0,4.0
2604,RPS10A,98.75,39.55902762539376,4.0,0.29555679578012006,0.03341783006834184,4.0,64.17620261873904,19.808009757389367,4.0,0.3087768361093803,0.035979915152574315,4.0,0.0,1.0,4.0,7.771561172376096e-16,0.9999999999999998,4.0,-2.7755575615628914e-16,0.9999999999999999,4.0,7.771561172376096e-16,1.0,4.0
2605,RPS10B,201.0,58.33809504374764,4.0,0.4226163874178755,0.00819846163396958,3.0,197.8392002397628,56.42228091126694,4.0,0.43914650024065577,0.011907895899433748,3.0,0.0,1.0,4.0,-7.771561172376096e-16,0.9999999999999998,4.0,-2.498001805406602e-16,1.0,4.0,-2.7755575615628914e-17,0.9999999999999999,4.0
2606,RPS11A,190.33333333333334,42.524502740576914,3.0,0.44188525489267144,0.0049134756992157275,3.0,132.80922479089537,30.10072131794773,3.0,0.4685605389581864,0.01965778882954122,3.0,2.0354088784794536e-16,0.9999999999999999,3.0,0.0,1.0,3.0,-2.9605947323337506e-16,1.0,3.0,9.62193288008469e-16,0.9999999999999999,3.0
2607,RPS11B,259.75,47.36647900502351,4.0,0.4861976027794215,0.011550510273981528,4.0,261.3750187512991,50.08249084668787,4.0,0.4988806364238295,0.011302081608609871,4.0,0.0,1.0,4.0,2.4147350785597155e-15,1.0,4.0,2.7755575615628914e-16,1.0,4.0,-1.2212453270876722e-15,1.0,4.0
2608,RPS12,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2609,RPS14A,163.66666666666666,5.773502691896254,3.0,0.4453824336126533,0.019911514511681373,4.0,148.4767530330003,23.524530371523095,4.0,0.46328979032586814,0.019651898303743365,4.0,6.938893903907228e-18,1.0,4.0,0.0,0.9999999999999998,4.0,8.708311849403572e-16,0.9999999999999999,4.0,-1.4155343563970746e-15,1.0,4.0
2610,RPS14B,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2611,RPS16A,172.25,34.29650127928503,4.0,0.4223517886149163,0.01703612570017956,4.0,155.092481593412,28.953081358884877,4.0,0.4646112986236536,0.02018255922072932,4.0,0.0,1.0,4.0,8.70397504071363e-16,1.0,4.0,-1.1102230246251565e-16,1.0,4.0,1.3461454173580023e-15,1.0,4.0
2612,RPS16B,142.33333333333334,13.051181300301257,3.0,0.2845628262305508,0.045631696162799426,3.0,101.52898184506535,17.09005299236923,3.0,0.289145262280629,0.04719587265527219,3.0,7.401486830834377e-16,1.0,3.0,7.401486830834377e-17,1.0,3.0,-2.9605947323337506e-16,1.0,3.0,0.0,1.0,3.0
2613,RPS17A,65.0,28.011902232205983,4.0,0.33097722519740075,0.046730973998361874,4.0,62.83367669812496,26.33662494005913,4.0,0.34179837118936174,0.04686530922210488,4.0,6.938893903907228e-18,1.0,4.0,-1.3877787807814457e-17,0.9999999999999999,4.0,-1.3877787807814457e-17,0.9999999999999999,4.0,2.636779683484747e-16,1.0,4.0
2614,RPS17B,204.0,14.628738838327793,4.0,0.44616218859205137,0.013425003006106873,4.0,195.10556056064786,11.54501240922096,4.0,0.4665916452985901,0.018723106796862236,4.0,5.551115123125783e-17,1.0,4.0,-3.0808688933348094e-15,1.0,4.0,6.106226635438361e-16,0.9999999999999999,4.0,-1.4432899320127035e-15,0.9999999999999998,4.0
2615,RPS18A,127.0,26.54555832275273,4.0,0.3899729299486316,0.02482326468143781,4.0,122.65761058693359,24.533993436063646,4.0,0.40357359290666617,0.01948715015445959,4.0,0.0,0.9999999999999999,4.0,0.0,1.0,4.0,0.0,1.0,4.0,7.216449660063518e-16,1.0,4.0
2616,RPS18B,121.5,14.708274315273474,4.0,0.4037053699689917,0.04093706225872508,4.0,122.94658949343253,16.141024086949862,4.0,0.4046047111241112,0.041816948993886285,4.0,4.683753385137379e-17,1.0,4.0,7.216449660063518e-16,1.0,4.0,0.0,1.0,4.0,-3.3306690738754696e-16,1.0,4.0
2617,RPS19A,152.66666666666666,16.502525059315424,3.0,0.38969932422660253,0.02423326275513779,3.0,138.1989633741482,38.06961395805338,3.0,0.43155430674922607,0.02241798138576437,3.0,-5.551115123125783e-16,0.9999999999999999,3.0,-1.5173048003210472e-15,1.0,3.0,-3.7007434154171886e-16,1.0,3.0,-1.6653345369377348e-15,1.0,3.0
2618,RPS19B,43.0,7.2571803523590805,4.0,0.31353008431963514,0.01923721649189681,4.0,42.252029406929125,6.598336942479184,4.0,0.32489119463149896,0.018971081496276153,4.0,1.3877787807814457e-17,0.9999999999999999,4.0,1.4432899320127035e-15,0.9999999999999998,4.0,2.498001805406602e-16,1.0,4.0,7.494005416219807e-16,1.0,4.0
2619,RPS1A,188.0,59.704829508731265,4.0,0.4538153004079614,0.017830453717351948,3.0,207.3689141911227,9.121300200659727,3.0,0.4183267300974879,0.10340902615811394,4.0,-2.7755575615628914e-17,0.9999999999999999,4.0,-3.0531133177191805e-16,1.0,4.0,-9.71445146547012e-17,0.9999999999999999,4.0,-2.7755575615628914e-17,1.0,4.0
2620,RPS1B,134.75,11.354147553500733,4.0,0.4929353503082803,0.014073006285976816,3.0,133.0394467721164,0.5463850743942454,3.0,0.48263758122744527,0.05905635437059555,4.0,0.0,0.9999999999999999,4.0,-1.3877787807814457e-17,0.9999999999999999,4.0,4.107825191113079e-15,1.0,4.0,-4.3021142204224816e-16,1.0,4.0
